Sp,12423
COMMA,11128
Rg,9740
PERIOD,5266
Ncfsrn,4628
Ncmsrn,3945
Ncfsry,3681
Cc,3574
Vmip3s,3158
Cs,2767
Ncmsry,2710
Afpmsrn,2686
Vmp,2603
Ncfprn,2374
Afpfsrn,2006
Qz,1870
Vmip3p,1674
Vmii3s,1646
Qs,1598
Pw3--r,1490
DASH,1447
Px3--r,1389
HELLIP,1327
Tifsr,1302
Ncfpry,1273
Vaip3s,1248
Afpfprn,1097
Pp1-sr,1040
Vmip1s,1024
Timsr,1018
QUEST,940
Vmsp3,929
Ncmprn,886
DBLQ,847
Vaip1p,837
Pp1-so,806
Np,803
Afpmprn,797
Pp3fsr,677
Ncfsoy,650
Vmii1p,615
Vmis3s,606
Vmip1p,603
Vaip3p,602
Vmip2s,591
Ncmpry,588
Vmg,543
Pp3msr,514
Ncmsoy,502
Vmsp1s,495
Pp1-pr,446
COLON,431
Vmn,430
Npmsrn,429
Pi3msr,384
Vmii3p,376
Mc-p-l,375
Van,354
Tsfsr,352
Afpfsry,280
Pp3-so,269
Di3fpr,257
Pz3msr,251
Pp2-sr,240
Pi3mpr,223
Ncmsvy,223
Ncfpoy,219
Px1-sr,213
Pp3mpr,206
Tsmsr,204
Pd3fsr,200
Vaip1s,198
Ds1fsrs,198
I,194
Di3fsr,186
Dw3--r,178
Ds3---sf,176
Pp3fpr,175
Di3msr,174
Px3--o,165
Vmsp1p,159
Vmil3s,158
Vmmp2s,154
Vmsp2s,150
Ds3---sm,149
LPAR,144
RPAR,144
Pp2-so,140
Ds3fsrs,139
Di3--r,135
Ps3fsrs,131
Dd3fsr---o,130
Pp2-pr,130
Afpmsry,128
Mcfp-l,125
Vaip2s,125
Px1-pr,118
Pi3fpr,118
Tdmpr,112
Ncfson,112
Ncmpoy,109
Pp3-sr,107
EXCL,104
Afpfson,101
Dd3fsr---e,100
Vmil1s,97
Pi3fsr,96
Timso,95
Pp3-po,92
Ds3---p,88
Vmmp2p,85
Mofs-ly,84
Ds1ms-s,83
Mcmp-l,74
Di3mpr,72
Tdmsr,71
Dd3msr---o,70
Dd3msr---e,65
Tifso,65
Tsmpr,64
Tdfpr,62
Dz3fsr,61
Pd3mpr,60
Pd3msr,57
Ps1fsrs,57
Tfmso,57
Vmip2p,56
Pp3fso,56
Tsfpr,55
Y,55
Ps1ms-s,55
Dz3msr,55
Npmsry,52
Ds1fp-s,52
Mofsrly,51
Px2-sr,51
Tdfsr,51
Mcmsrln,50
Afp,50
SCOLON,50
Mcfsrln,49
Npfsry,45
Qn,45
M,42
Ds1fsrp,42
Dd3fpr---o,40
Di3-sr,40
Vmii2p,40
Ds1ms-p,39
Vmil3p,39
Vmii1s,39
Qf,37
Dd3fpr---e,36
Pp1-po,36
Mcfprln,34
Dd3fsr,33
Ps1fsrp,33
Mo-s-r,32
Ds1fsos,32
Vmii2s,31
Pi3--r,30
Afpmpry,29
Pd3fpr,28
Vmsp2p,27
Ds1fp-p,26
Pi3-po,26
Mlmpr,26
Ps1mp-s,25
Pp3-pr,25
Ps1mp-p,25
Dd3fso---e,23
Ncfpon,23
Vaip2p,23
Dd3msr,22
Afpmson,20
Ncfsvy,18
Mcfsoln,17
Tdmpo,17
Afpfpry,17
Npfsoy,15
Momsrly,15
Di3-po,15
Mlfpr,15
Pi3-sr,15
Mofprly,15
Dd3mpr---e,13
Mcfsrl,13
Afpfsoy,13
Tifpo,13
Afpmsoy,12
Dd3mpr---o,12
Ncmpvy,12
Dd3mso---e,12
Pp3mso,12
Ps1fp-p,12
EXCLHELLIP,11
Dd3fpr,11
Pz3fsr,11
Ps1ms-p,11
Tdfpo,10
Ds3fsos,10
Pi3mso,10
Ds1mp-s,10
Dw3fsr,10
Ds1mp-p,10
Pp2-po,9
Dh1ms,9
Ps3---p,9
Moms-ly,9
Afpfsvy,9
Tdmso,9
Ps2ms-s,9
Mcfpoln,9
Ds3ms-s,8
Di3mso,8
Ds1fsop,8
Ps2fsrs,8
Di3fso,7
Px2-pr,7
Vmil1p,7
Npfpon,7
Pw3-po,7
Pd3mpo,7
Dw3mso,6
Ds2fsrs,6
Ps3---sf,6
Dw3fso,6
Dd3mpr,6
Pw3fso,6
Pd3mso,5
Npmson,5
Ncmson,5
Afpmpoy,5
Di3fpo,5
Ds2mp-s,5
Pw3mso,5
Dh3fs,5
Pz3mso,5
Dh3ms,5
Ds2fp-s,4
Mcfsrly,4
Pw3-so,4
Dw3-po,4
Momprly,4
Dd3mpo,4
Dd3-po---e,4
Afpfpon,4
Npmpry,3
Pw3fpr,3
Dd3fso---o,3
Npmpoy,3
Ds2mp-p,3
Vmis1s,3
SLASH,3
Npmprn,3
Vmis3p,2
Pd3fpo,2
Mcmsrl,2
Momprln,2
Momsrln,2
Di3mpo,2
STAR,2
Pd3fso,2
Tdfso,2
Tfmsr,2
Afpfpoy,2
Npfsrn,1
Ph3fp,1
Dz3mso,1
Ds2fp-p,1
Dh3fp,1
EQUAL,1
PLUS,1
Dh2ms,1
Ml-po,1
Dz3fso,1
Ds2fsrp,1
Pi3fso,1
Mofprln,1
Dh2fs,1
Tifpr,1
Dw3msr,1
Mofsrln,1
Pw3msr,1
Dh1mp,1
RCURL,1
Afpmpon,1
Ncmpon,1
Npfpry,1
Dd3fso,1
Ph3fs,1
Vmis1p,1
Npmpon,1
